date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:40	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:10:40%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/man1.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/man1.png	(from http://designstream.co.in/templates/html/job-express/resume2.html)
18:10:40	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:10:40%20GMT	http://designstream.co.in/templates/html/job-express/assets/images/candidates/candidate-8.png	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/images/candidates/candidate-8.png	(from http://designstream.co.in/templates/html/job-express/candidates.html)
18:10:40	1268/1268	---M--	200	added ('OK')	font/woff	date:Thu,%2012%20May%202016%2013:11:38%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.woff	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.woff	(from http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/flexslider.css)
18:10:41	395/395	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Jun%202018%2018:10:41%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.ttf	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.ttf	(from http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/flexslider.css)
18:10:42	2334/2334	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2012%20May%202016%2013:11:38%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.svg	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/flexslider/fonts/flexslider-icon.svg	(from http://designstream.co.in/templates/html/job-express/assets/plugins/flexslider/flexslider.css)
18:11:01	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:06	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:08	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:11	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Dec%202016%2022:50:34%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
18:11:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2018:11:08%20GMT	http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/najah/websites/fj/designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://designstream.co.in/templates/html/job-express/assets/plugins/font-awesome/css/font-awesome.min.css)
